,id_genre,name,id
0,16,Animation,862
1,35,Comedy,862
2,10751,Family,862
3,12,Adventure,8844
4,14,Fantasy,8844
5,10751,Family,8844
6,10749,Romance,15602
7,35,Comedy,15602
8,35,Comedy,31357
9,18,Drama,31357
10,10749,Romance,31357
11,35,Comedy,11862
12,28,Action,949
13,80,Crime,949
14,18,Drama,949
15,53,Thriller,949
16,35,Comedy,11860
17,10749,Romance,11860
18,28,Action,45325
19,12,Adventure,45325
20,18,Drama,45325
21,10751,Family,45325
22,28,Action,9091
23,12,Adventure,9091
24,53,Thriller,9091
25,12,Adventure,710
26,28,Action,710
27,53,Thriller,710
28,35,Comedy,9087
29,18,Drama,9087
30,10749,Romance,9087
31,35,Comedy,12110
32,27,Horror,12110
33,10751,Family,21032
34,16,Animation,21032
35,12,Adventure,21032
36,36,History,10858
37,18,Drama,10858
38,28,Action,1408
39,12,Adventure,1408
40,18,Drama,524
41,80,Crime,524
42,18,Drama,4584
43,10749,Romance,4584
44,80,Crime,5
45,35,Comedy,5
46,80,Crime,9273
47,35,Comedy,9273
48,12,Adventure,9273
49,28,Action,11517
50,35,Comedy,11517
51,80,Crime,11517
52,35,Comedy,8012
53,53,Thriller,8012
54,80,Crime,8012
55,18,Drama,1710
56,53,Thriller,1710
57,28,Action,9691
58,12,Adventure,9691
59,80,Crime,9691
60,53,Thriller,9691
61,18,Drama,12665
62,14,Fantasy,12665
63,878,Science Fiction,12665
64,53,Thriller,12665
65,18,Drama,451
66,10749,Romance,451
67,18,Drama,16420
68,35,Comedy,9263
69,18,Drama,9263
70,10751,Family,9263
71,18,Drama,17015
72,10749,Romance,17015
73,14,Fantasy,902
74,878,Science Fiction,902
75,12,Adventure,902
76,18,Drama,37557
77,80,Crime,37557
78,18,Drama,9909
79,80,Crime,9909
80,878,Science Fiction,63
81,53,Thriller,63
82,9648,Mystery,63
83,10749,Romance,78802
84,12,Adventure,78802
85,14,Fantasy,9598
86,18,Drama,9598
87,35,Comedy,9598
88,10751,Family,9598
89,36,History,47018
90,18,Drama,47018
91,10749,Romance,47018
92,18,Drama,687
93,12,Adventure,139405
94,36,History,139405
95,18,Drama,139405
96,10751,Family,139405
97,35,Comedy,33689
98,10751,Family,33689
99,10749,Romance,33689
100,35,Comedy,9603
101,18,Drama,9603
102,10749,Romance,9603
103,18,Drama,34615
104,18,Drama,31174
105,10752,War,31174
106,28,Action,11443
107,80,Crime,11443
108,18,Drama,11443
109,36,History,11443
110,18,Drama,35196
111,10749,Romance,35196
112,28,Action,9312
113,14,Fantasy,9312
114,14,Fantasy,577
115,18,Drama,577
116,35,Comedy,577
117,53,Thriller,577
118,18,Drama,11861
119,10749,Romance,11861
120,80,Crime,807
121,9648,Mystery,807
122,53,Thriller,807
123,12,Adventure,10530
124,16,Animation,10530
125,18,Drama,10530
126,10751,Family,10530
127,18,Drama,8391
128,10749,Romance,8391
129,18,Drama,629
130,80,Crime,629
131,53,Thriller,629
132,28,Action,117164
133,53,Thriller,117164
134,18,Drama,117164
135,35,Comedy,11448
136,10749,Romance,11448
137,18,Drama,49133
138,10769,Foreign,49133
139,28,Action,26441
140,12,Adventure,26441
141,35,Comedy,26441
142,10751,Family,26441
143,18,Drama,97406
144,35,Comedy,9089
145,18,Drama,9089
146,10749,Romance,9089
147,35,Comedy,11010
148,18,Drama,11010
149,10749,Romance,11010
150,53,Thriller,99040
151,18,Drama,99040
152,9648,Mystery,99040
153,12,Adventure,11359
154,10751,Family,11359
155,14,Fantasy,11359
156,18,Drama,17182
157,53,Thriller,17182
158,10402,Music,2054
159,18,Drama,2054
160,10751,Family,2054
161,35,Comedy,10607
162,35,Comedy,19760
163,10749,Romance,19760
164,35,Comedy,9536
165,28,Action,11525
166,878,Science Fiction,11525
167,18,Drama,40628
168,10751,Family,40628
169,35,Comedy,4482
170,10749,Romance,4482
171,35,Comedy,10634
172,27,Horror,755
173,28,Action,755
174,53,Thriller,755
175,80,Crime,755
176,28,Action,11859
177,53,Thriller,11859
178,10749,Romance,11859
179,35,Comedy,28387
180,18,Drama,28387
181,10749,Romance,28387
182,18,Drama,48750
183,36,History,48750
184,18,Drama,20927
185,10749,Romance,20927
186,35,Comedy,36929
187,10751,Family,36929
188,27,Horror,9102
189,878,Science Fiction,9102
190,99,Documentary,124626
191,18,Drama,27526
192,53,Thriller,27526
193,18,Drama,9623
194,53,Thriller,9623
195,10751,Family,46785
196,18,Drama,46785
197,18,Drama,400
198,80,Crime,400
199,18,Drama,880
200,35,Comedy,880
201,10749,Romance,146599
202,18,Drama,146599
203,18,Drama,8447
204,10749,Romance,8447
205,28,Action,10534
206,18,Drama,10534
207,12,Adventure,17414
208,35,Comedy,17414
209,10751,Family,17414
210,35,Comedy,13997
211,80,Crime,2086
212,18,Drama,2086
213,53,Thriller,2086
214,18,Drama,61548
215,18,Drama,9095
216,27,Horror,9095
217,53,Thriller,9095
218,10749,Romance,9095
219,35,Comedy,12158
220,27,Horror,12158
221,10749,Romance,12158
222,35,Comedy,9283
223,18,Drama,9283
224,10749,Romance,9283
225,28,Action,9208
226,12,Adventure,9208
227,18,Drama,9208
228,53,Thriller,9208
229,35,Comedy,40154
230,18,Drama,406
231,28,Action,45549
232,12,Adventure,45549
233,18,Drama,45549
234,878,Science Fiction,45549
235,53,Thriller,45549
236,99,Documentary,63076
237,18,Drama,11062
238,53,Thriller,11062
239,35,Comedy,13685
240,80,Crime,13685
241,18,Drama,13685
242,35,Comedy,47475
243,10749,Romance,47475
244,18,Drama,2045
245,9648,Mystery,2045
246,878,Science Fiction,2045
247,53,Thriller,2045
248,35,Comedy,9614
249,18,Drama,688
250,10749,Romance,688
251,18,Drama,11907
252,35,Comedy,11907
253,10751,Family,11907
254,28,Action,10874
255,35,Comedy,10874
256,10402,Music,10874
257,10751,Family,10874
258,12,Adventure,10874
259,99,Documentary,89333
260,80,Crime,96357
261,28,Action,197
262,18,Drama,197
263,36,History,197
264,10752,War,197
265,80,Crime,103
266,18,Drama,103
267,80,Crime,33542
268,28,Action,33542
269,35,Comedy,33542
270,53,Thriller,33542
271,18,Drama,43566
272,53,Thriller,43566
273,18,Drama,71754
274,35,Comedy,43612
275,99,Documentary,51352
276,18,Drama,51352
277,10769,Foreign,51352
278,35,Comedy,16934
279,80,Crime,16934
280,18,Drama,16934
281,35,Comedy,10324
282,10749,Romance,10324
283,35,Comedy,78406
284,18,Drama,78406
285,28,Action,55731
286,12,Adventure,55731
287,35,Comedy,55731
288,18,Drama,55731
289,10751,Family,55731
290,18,Drama,32119
291,35,Comedy,11066
292,10749,Romance,11066
293,18,Drama,11104
294,35,Comedy,11104
295,10749,Romance,11104
296,18,Drama,37975
297,10749,Romance,37975
298,35,Comedy,2074
299,10749,Romance,2074
300,14,Fantasy,27793
301,18,Drama,44284
302,35,Comedy,110972
303,10749,Romance,110972
304,35,Comedy,32622
305,18,Drama,32622
306,18,Drama,73067
307,10749,Romance,73067
308,10752,War,73067
309,28,Action,11863
310,53,Thriller,11863
311,9648,Mystery,11863
312,10749,Romance,11863
313,35,Comedy,55475
314,18,Drama,55475
315,10749,Romance,55475
316,10402,Music,124636
317,99,Documentary,124636
318,35,Comedy,9101
319,99,Documentary,123360
320,35,Comedy,5757
321,18,Drama,39428
322,18,Drama,9302
323,10749,Romance,9302
324,35,Comedy,11000
325,18,Drama,249882
326,35,Comedy,16388
327,18,Drama,16388
328,10749,Romance,16388
329,28,Action,9737
330,35,Comedy,9737
331,80,Crime,9737
332,53,Thriller,9737
333,28,Action,30765
334,12,Adventure,30765
335,18,Drama,30765
336,10751,Family,30765
337,18,Drama,10474
338,80,Crime,10474
339,10749,Romance,22279
340,18,Drama,22279
341,35,Comedy,22279
342,80,Crime,30157
343,35,Comedy,30157
344,18,Drama,30157
345,53,Thriller,30157
346,18,Drama,568
347,12,Adventure,11780
348,18,Drama,34996
349,27,Horror,34996
350,28,Action,414
351,80,Crime,414
352,14,Fantasy,414
353,18,Drama,649
354,10749,Romance,649
355,18,Drama,1873
356,53,Thriller,1873
357,35,Comedy,5894
358,28,Action,1775
359,35,Comedy,1775
360,14,Fantasy,8839
361,35,Comedy,8839
362,10751,Family,8839
363,9648,Mystery,20649
364,80,Crime,20649
365,18,Drama,20649
366,28,Action,10329
367,12,Adventure,10329
368,18,Drama,10329
369,9648,Mystery,10329
370,878,Science Fiction,10329
371,53,Thriller,10329
372,28,Action,8963
373,53,Thriller,8963
374,18,Drama,8963
375,99,Documentary,26564
376,53,Thriller,8068
377,28,Action,8068
378,80,Crime,8068
379,18,Drama,8512
380,9648,Mystery,8512
381,53,Thriller,8512
382,28,Action,1572
383,53,Thriller,1572
384,28,Action,13552
385,35,Comedy,13552
386,80,Crime,13552
387,18,Drama,13552
388,18,Drama,259209
389,80,Crime,259209
390,28,Action,6520
391,12,Adventure,6520
392,18,Drama,6520
393,10749,Romance,6520
394,12,Adventure,9073
395,28,Action,10428
396,80,Crime,10428
397,53,Thriller,10428
398,18,Drama,10428
399,35,Comedy,17447
400,18,Drama,17447
401,10749,Romance,17447
402,12,Adventure,9886
403,28,Action,9886
404,18,Drama,9886
405,878,Science Fiction,9886
406,53,Thriller,9886
407,878,Science Fiction,9482
408,35,Comedy,19326
409,18,Drama,19326
410,18,Drama,9344
411,80,Crime,9344
412,18,Drama,9071
413,35,Comedy,9071
414,9648,Mystery,8973
415,27,Horror,8973
416,53,Thriller,8973
417,35,Comedy,15730
418,18,Drama,15730
419,18,Drama,47608
