,name,id_prod_company,id
0,Pixar Animation Studios,3,862
1,TriStar Pictures,559,8844
2,Teitler Film,2550,8844
3,Interscope Communications,10201,8844
4,Warner Bros.,6194,15602
5,Lancaster Gate,19464,15602
6,Twentieth Century Fox Film Corporation,306,31357
7,Sandollar Productions,5842,11862
8,Touchstone Pictures,9195,11862
9,Regency Enterprises,508,949
10,Forward Pass,675,949
11,Warner Bros.,6194,949
12,Paramount Pictures,4,11860
13,Scott Rudin Productions,258,11860
14,Mirage Enterprises,932,11860
15,Sandollar Productions,5842,11860
16,Constellation Entertainment,14941,11860
17,Worldwide,55873,11860
18,Mont Blanc Entertainment GmbH,58079,11860
19,Walt Disney Pictures,2,45325
20,Universal Pictures,33,9091
21,Imperial Entertainment,21437,9091
22,Signature Entertainment,23770,9091
23,United Artists,60,710
24,Eon Productions,7576,710
25,Columbia Pictures,5,9087
26,Castle Rock Entertainment,97,9087
27,Columbia Pictures,5,12110
28,Castle Rock Entertainment,97,12110
29,Enigma Pictures,6368,12110
30,Universal Pictures,33,21032
31,Amblin Entertainment,56,21032
32,Amblimation,4105,21032
33,Hollywood Pictures,915,10858
34,Cinergi Pictures Entertainment,1504,10858
35,Le Studio Canal+,183,1408
36,Laurence Mark Productions,415,1408
37,Metro-Goldwyn-Mayer (MGM),8411,1408
38,Carolco Pictures,14723,1408
39,Universal Pictures,33,524
40,Légende Entreprises,10898,524
41,Syalis DA,11583,524
42,De Fina-Cappa,11584,524
43,Columbia Pictures Corporation,441,4584
44,Mirage Enterprises,932,4584
45,Miramax Films,14,5
46,A Band Apart,59,5
47,O Entertainment,5682,9273
48,Warner Bros.,6194,9273
49,Morgan Creek Productions,10210,9273
50,Columbia Pictures,5,11517
51,Jersey Films,216,8012
52,Metro-Goldwyn-Mayer (MGM),8411,8012
53,Regency Enterprises,508,1710
54,New Regency Pictures,10104,1710
55,Silver Pictures,1885,9691
56,Canal+,5358,9691
57,Warner Bros.,6194,9691
58,Dino De Laurentiis Company,10308,9691
59,Donner/Shuler-Donner Productions,23397,9691
60,Evansgideon/Lazar,25061,9691
61,Caravan Pictures,175,12665
62,Hollywood Pictures,915,12665
63,United Artists,60,451
64,Intial Productions,15547,451
65,Columbia Pictures,5,16420
66,Castle Rock Entertainment,97,16420
67,New Line Cinema,12,9263
68,BBC Films,288,17015
69,Procirep,311,902
70,Constellation Productions,590,902
71,France 3 Cinéma,591,902
72,Claudie Ossard Productions,592,902
73,Eurimages,850,902
74,MEDIA Programme of the European Union,851,902
75,Cofimage 5,1871,902
76,Televisión Española (TVE),6639,902
77,Tele München Fernseh Produktionsgesellschaft (TMG),7237,902
78,Club dInvestissement Média,8170,902
79,Canal+ España,9335,902
80,Elías Querejeta Producciones Cinematográficas S.L.,12009,902
81,Centre National de la Cinématographie (CNC),18367,902
82,Victoires Productions,25020,902
83,Constellation,25021,902
84,Lumière Pictures,25129,902
85,Canal+,47532,902
86,Studio Image,68517,902
87,Cofimage 4,79437,902
88,Ossane,79438,902
89,Phoenix Images,79439,902
90,Ministère des Affaires Étrangères,2588,37557
91,Alpha Films,4507,37557
92,La Sept Cinéma,23647,37557
93,Hollywood Pictures,915,9909
94,Via Rosa Productions,10103,9909
95,Don Simpson/Jerry Bruckheimer Films,10288,9909
96,Universal Pictures,33,63
97,Atlas Entertainment,507,63
98,Classico,17031,63
99,Iwerks Entertainment,70801,78802
100,Universal Pictures,33,9598
101,Kennedy Miller Productions,2537,9598
102,StudioCanal,694,47018
103,Cinéa,874,47018
104,Euston Films,8363,47018
105,Freeway Films,19316,47018
106,European Co-production Fund,30226,47018
107,Polygram Filmed Entertainment,31080,47018
108,Orsans Productions,44821,47018
109,Havoc,406,687
110,PolyGram Filmed Entertainment,1382,687
111,Working Title Films,10163,687
112,Sony New Technologies,53390,139405
113,Dualstar Productions,6130,33689
114,Warner Bros.,6194,33689
115,Rysher Entertainment,11661,33689
116,Orr & Cruickshank,89131,33689
117,Paramount Pictures,4,9603
118,Miramax,53009,34615
119,Distant Horizon,85681,34615
120,Alpine Pty Limited,89840,34615
121,British Screen,871,31174
122,Mayfair Entertainment International,34237,31174
123,Caravan Pictures,175,11443
124,Underworld Entertainment,476,11443
125,Hollywood Pictures,915,11443
126,Miramax Films,14,35196
127,New Line Cinema,12,9312
128,Threshold Entertainment,4174,9312
129,The Rank Organisation,364,577
130,Columbia Pictures Corporation,441,577
131,Universal Pictures,33,11861
132,Amblin Entertainment,56,11861
133,New Line Cinema,12,807
134,Juno Pix,4286,807
135,Cecchi Gori Pictures,65394,807
136,Walt Disney Pictures,2,10530
137,Walt Disney Feature Animation,10217,10530
138,Alliance Communications Corporation,2480,8391
139,Blue Parrot Productions,361,629
140,Bad Hat Harry Productions,9168,629
141,Miramax Films,14,11448
142,Magnolia Pictures,1030,11448
143,Walt Disney Pictures,2,26441
144,Caravan Pictures,175,26441
145,Miramax Films,14,97406
146,CiBy 2000,7832,97406
147,Telefilm Canada,7320,124057
148,Melenny Productions,10260,124057
149,Paramount Pictures,4,9089
150,Egg Pictures,802,9089
151,PolyGram Filmed Entertainment,1382,9089
152,Paramount Pictures,4,11359
153,Columbia Pictures Corporation,441,11359
154,The Kennedy/Marshall Company,862,11359
155,Paramount Pictures,4,17182
156,Hollywood Pictures,915,2054
157,The Charlie Mopic Company,916,2054
158,PolyGram Filmed Entertainment,1382,2054
159,Interscope Communications,10201,2054
160,Miramax Films,14,10607
161,Island Pictures,3492,10607
162,Ivory Way Productions,5441,10607
163,Warner Bros.,6194,19760
164,Morgan Creek Productions,10210,19760
165,Metro-Goldwyn-Mayer (MGM),8411,9536
166,Motion Picture Corporation of America (MPCA),11061,9536
167,3 Arts Entertainment,36390,9536
168,Weasel Productions,38003,9536
